output:
{
  "Conference dates": "November 15 - 18, 2025",
  "Year": "2025",
  "Location": "London, United Kingdom",
  "City-State-Province": "London",
  "Country": "United Kingdom",
  "Continent": "Europe",
  "Type": "Offline",
  "Topics": "Web Intelligence, Intelligent Agent Technology, Artificial Intelligence, Collective Intelligence, Data Science, Human-Centric Computing, Knowledge Management, Network Science, Autonomous Agents, Multi-Agent Systems, Web of People, Web of Data, Web of Things, Web of Trust, Web of Agents, Web in Industry, Society, Education, Health and Smart Living, Web of Everything, FAccT, LLM, AIGC",
  "Summary": "The 23rd IEEE/WIC International Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT 2024) was held in Bangkok, Thailand. WI-IAT 2025 will be held in London, UK, from November 15-18, 2025.  The conference provides a premier international forum to bring together researchers and practitioners from diverse fields for presentation of original research results, as well as exchange and dissemination of innovative and practical development experiences on Web intelligence and intelligent agent technology research and applications.",
  "Call for Papers": "# WI-IAT 2025: Call for Papers\n\nThe 23rd IEEE/WIC International Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT 2024) was held in Bangkok, Thailand.  **WI-IAT 2025 will be held in London, United Kingdom from November 15-18, 2025.**\n\n## About the Conference\n\nThe WI-IAT conference series provides a premier international forum to bring together researchers and practitioners from diverse fields for the presentation of original research results, as well as the exchange and dissemination of innovative and practical development experiences on Web intelligence and intelligent agent technology research and applications.\n\n## Theme\n\nWeb Intelligence = AI in the Connected World\n\n## Topics of Interest\n\nWI-IAT '24 welcomes research and application paper submissions in these core thematic pillars under wider topics, which demand WI innovative and disruptive solutions for any of the next indicative sub-topics. Relevant topics include, but are not limited to:\n\n*   Track 1: Web of People\n*   Track 2: Web of Data\n*   Track 3: Web of Things\n*   Track 4: Web of Trust\n*   Track 5: Web of Agents\n*   SPECIAL TRACK: Web in Industry, Society, Education, Health and Smart Living, and the Web of Everything\n*   SPECIAL TRACK in WI-IAT 2024: FAccT, LLM and AIGC\n\n## Paper Submission and Publication\n\nPapers must be submitted electronically via CyberChair in standard IEEE Conference Proceedings format (max 8 pages, templates at [https://www.ieee.org/conferences/publishing/templates.html](https://www.ieee.org/conferences/publishing/templates.html)). Your submitted long paper should be limited to 8 pages; workshops paper is limited to 6 pages; short paper is limited to 5 pages, but you can extend it for a maximum of 2 pages. Submitted papers will undergo a peer review process, coordinated by the International Program Committee. Accepted papers will be published in the conference proceedings by IEEE and submitted to EI. Selected WI-IAT'24 papers will be further invited for expansion and publication in Web Intelligence journal and other international journals.  Detailed submission guidelines can be found at [https://www.wi-iat.com/wi-iat2024/Participant-Submission.html](https://www.wi-iat.com/wi-iat2024/Participant-Submission.html).\n\n## Journal Opportunities\n\n*   Web Intelligence Journal (Publisher: IOS Press) Special Issue: [20 years of Web Intelligence: Call for a new era of AI in the Connected World](https://content.iospress.com/journals/web-intelligence/22/1)\n*   Brain Informatics (Publisher: Springer Nature)\n*   Natural Language Processing Journal (Publisher: Elsevier)\n\n## Sponsors\n\nWI-IAT'24 in Bangkok (Thailand) is officially sponsored by IEEE Computer Society Technical Committee on Intelligent Informatics (TCII) and Web Intelligence Consortium (WIC)."
}

