"Name","Acronym","Link","cfpLink","impLink","Source","Rank","Rating","PrimaryFoR","Information","Conference dates","Year","Location","Country","Continent","Type","Submission date","Notification date","Camera-ready date","Registration date","Topics","Publisher","Others","Summary","Call for papers"
"ASIAN Symposium on Programming Languages and Systems","APLAS","https://conf.researchr.org/home/aplas-2025","None","None","CORE2023","B","N/A","4612","Information of APLAS:
Conference dates: October 27-30, 2025
Year: 2025
Location: Bengaluru, India
Country: India
Continent: Asia
Research Papers Submission Deadline: May 31, 2025
Venue: The International Institute of Information Technology Bangalore (IIIT Bangalore)","October 27-30, 2025","2025","Bengaluru, India","India","Asia","","Research Papers Submission Deadline: May 31, 2025","","","","","","Information of APLAS:
Venue: The International Institute of Information Technology Bangalore (IIIT Bangalore)","APLAS 2025, the 23rd Asian Symposium on Programming Languages and Systems, will be held in Bengaluru, India, from October 27-30, 2025. This symposium serves as a venue for researchers to share advancements in programming languages and systems.","APLAS 2025 invites submissions for its Research Papers track. Key information includes:
*   **Submission Deadline:** May 31, 2025
*   **Scope:** The symposium covers programming languages and systems."
"Asia-Pacific Conference on Conceptual Modelling","APCCM","None","","","CORE2023","Australasian C","N/A","4605","Information of APCCM: 
No information available","","","","","","","","","","","","","Information of APCCM:
No information available","",""
"Asia Pacific Conference on Communications","APCC","https://www.ieice.org/cs/apcc/","https://www.ieice.org/cs/apcc/call-for-papers","None","CORE2023","C","N/A","4606","Information of APCC:
Conference dates: November 26-28, 2025
Year: 2025
Location: I-site Namba, Osaka Metropolitan University, Osaka, Japan
Country: Japan
Continent: Asia
Type: Offline
Special Session Proposal Submission: Apr. 1st, 2025
Manuscript Submission: Jun. 5th, 2025
Tutorial Proposal Submission: Jul. 31st, 2025
Notification of Acceptance: Sep. 10th, 2025
Camera-ready Submission: Oct. 15th, 2025
Topics: Communication Technologies, Information Technologies, Signal Processing, Wireless Communications, Networking, Emerging Technologies, Applications, Services
Publisher: IEICE, IEEE","November 26-28, 2025","2025","I-site Namba, Osaka Metropolitan University, Osaka, Japan","Japan","Asia","Offline","Special Session Proposal Submission: Apr. 1st, 2025
Manuscript Submission: Jun. 5th, 2025
Tutorial Proposal Submission: Jul. 31st, 2025","Notification of Acceptance: Sep. 10th, 2025","Camera-ready Submission: Oct. 15th, 2025","","Communication Technologies, Information Technologies, Signal Processing, Wireless Communications, Networking, Emerging Technologies, Applications, Services","IEICE, IEEE","Information of APCC:","The Asia-Pacific Conference on Communications (APCC) is an international forum focusing on communications and information technology. APCC 2025, the 30th edition, will be held in Osaka, Japan, from November 26th to 28th, 2025. It aims to provide researchers and engineers with an opportunity to discuss advanced communication technologies and services, stimulating research collaborations and developments in the field.","APCC 2025 invites submissions of original technical papers. Key details include:
*   **Submission Deadlines:**
*   Special Session Proposals: April 1, 2025
*   Manuscript Submission: June 5, 2025
*   Tutorial Proposals: July 31, 2025
*   **Topics of Interest:** Include, but are not limited to:
*   Signal Processing for Communications
*   Wireless Communications
*   Networking
*   Emerging Technologies, Applications, and Services
*   **Submission Instructions:**
*   Managed via EDAS.
*   Full papers: 3-6 pages; Short papers: 2 pages, including figures, tables, references, and appendices.
*   Format: Standard IEEE conference proceedings templates for Microsoft Word or LaTeX format on A4 size pages ( [https://www.ieee.org/conferences/publishing/templates.html](https://www.ieee.org/conferences/publishing/templates.html) ).
*   Review process: Blind review.
*   **Publication:** Accepted and presented papers will be included in the conference proceedings, IEICE Proceeding Series, and IEEE Xplore Digital Library. At least one author must register and present the paper."
"Asia-Pacific Bioinformatics Conference","APBC","None","","","CORE2023","B","N/A","4601","Information of APBC: 
No information available","","","","","","","","","","","","","Information of APBC:
No information available","",""
"International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation","APPROX/RANDOM","https://approxconference.com/","https://approxconference.com/wp-content/uploads/2024/05/randomapprox2024cfp.pdf","None","CORE2023","A","N/A","4613","Information of APPROX/RANDOM:
Conference dates: August 28-30, 2024
Year: 2024
Location: London School of Economics and Political Science, London, UK
Country: UK
Continent: Europe
Type: Offline
Submissions: May 10, 2024
Notifications: July 1, 2024
Camera Ready: July 15, 2024
Topics: Approximation Algorithms, Combinatorial Optimization, Hardness of Approximation, Small Space Algorithms, Sub-Linear Time Algorithms, Streaming Algorithms, Online Algorithms, Worst-Case Analysis, Distributed Approximation, Parallel Approximation, Embeddings, Metric Space Methods, Mathematical Programming Methods, Spectral Methods, Combinatorial Optimization, Algorithmic Game Theory, Mechanism Design, Economics, Computational Geometric Problems, Approximate Learning","August 28-30, 2024","2024","London School of Economics and Political Science, London, UK","UK","Europe","Offline","Submissions: May 10, 2024","Notifications: July 1, 2024","Camera Ready: July 15, 2024","","Approximation Algorithms, Combinatorial Optimization, Hardness of Approximation, Small Space Algorithms, Sub-Linear Time Algorithms, Streaming Algorithms, Online Algorithms, Worst-Case Analysis, Distributed Approximation, Parallel Approximation, Embeddings, Metric Space Methods, Mathematical Programming Methods, Spectral Methods, Combinatorial Optimization, Algorithmic Game Theory, Mechanism Design, Economics, Computational Geometric Problems, Approximate Learning","","Information of APPROX/RANDOM:","APPROX 2024, the International Conference on Approximation Algorithms for Combinatorial Optimization Problems, will be held at the London School of Economics and Political Science, London, UK, from August 28-30, 2024, in conjunction with RANDOM 2024. This conference is dedicated to advancing the field of approximation algorithms and their applications in various areas of computer science and discrete mathematics.","APPROX 2024 invites submissions on research related to approximation algorithms. Key details include:
*   **Submission Deadline:** May 10, 2024, AoE Time Zone
*   **Topics of Interest:** The conference welcomes papers on approximation algorithms, hardness of approximation, small space algorithms, online algorithms, algorithmic game theory, and more.
*   **Submission Format:** Submissions should be in PDF format and include a title, author details, and a 1-2 paragraph abstract. The main technical exposition should be on single-spaced, single-column pages with at least 11-point font. The first 10 pages should clearly present the main technical and conceptual ideas.
*   **Originality:** Work must be original and not previously published or simultaneously submitted to other conferences with published proceedings."
"Asia-Pacific Network Operations and Management Symposium","APNOMS","https://noms2025.ieee-noms.org/","https://noms2025.ieee-noms.org/call-technical-session-papers","https://noms2025.ieee-noms.org/important-dates","CORE2023","C","N/A","4606","Information of APNOMS:
Conference dates: May 12-16, 2025
Year: 2025
Location: Honolulu, Hawaii, USA
Country: USA
Continent: North America
Type: Offline
Paper Submission Deadline: October 25, 2024
Notification of Acceptance: December 20, 2024
Camera Ready Paper: January 31, 2025
Demo Submission Deadline: January 31, 2025
Workshop Submission Deadline: January 17, 2025
Dissertation Digest Submission Deadline: January 22, 2025
Doctoral Symposium Submission Deadline: January 26, 2025
Experience Session Submission Deadline: October 25, 2024
Author Registration Deadline: February 28, 2025
Topics: Network Management, Service Management, Business Management
Publisher: IEEE","May 12-16, 2025","2025","Honolulu, Hawaii, USA","USA","North America","Offline","Paper Submission Deadline: October 25, 2024
Demo Submission Deadline: January 31, 2025
Workshop Submission Deadline: January 17, 2025
Dissertation Digest Submission Deadline: January 22, 2025
Doctoral Symposium Submission Deadline: January 26, 2025
Experience Session Submission Deadline: October 25, 2024","Notification of Acceptance: December 20, 2024","Camera Ready Paper: January 31, 2025","Author Registration Deadline: February 28, 2025","Network Management, Service Management, Business Management","IEEE","Information of APNOMS:","The IEEE/IFIP Network Operations and Management Symposium (NOMS) is the IEEE Communications Society's primary forum for technical exchange on network and service management. NOMS 2025, the 38th edition, will be held in Honolulu, Hawaii, USA, from May 12-16, 2025. The symposium focuses on research, development, integration, standards, service provisioning, and user communities, all under the theme of ""Managing the Wave to Global Connectivity.""","NOMS 2025 invites original contributions on network and service management. Key aspects of the call for technical session papers include:
*   **Submission Deadline:** October 25, 2024 (Final)
*   **Topics of Interest:** The conference covers a broad range of topics, including:
*   Management of Networks (IP, Wireless, 5G/6G, Quantum, Optical, Virtual, etc.)
*   Management of Services (Multimedia, OTT, Cloud Computing, IoT, Security, etc.)
*   Management of Businesses (Economic, Multi-Stakeholder, SLA, Legal, Regulatory, etc.)
*   Functional Areas (Fault, Configuration, Accounting, Performance, Security Management)
*   Management Paradigms (Centralized, Distributed, Autonomic, Policy-Based, etc.)
*   Management Technologies (Communication Protocols, Middleware, SDN, NFV, Digital Twins, etc.)
*   Methods (AI/ML, Optimization, Game Theory, Risk Management, Data Mining, etc.)
*   **Submission Guidelines:**
*   Original contributions, written in English, that have not been published or submitted elsewhere.
*   Technical papers must be formatted using the IEEE 2-column format.
*   Maximum Length: 8 pages (excluding references) for full paper submissions, 4 pages (excluding references) for short paper submissions.
*   Submission Link: [https://jems3.sbc.org.br/noms2025](https://jems3.sbc.org.br/noms2025)
*   **Publication:** Accepted and presented papers will be published in the conference proceedings and submitted to IEEE Xplore. Authors of the best papers will be invited to submit extended versions to IEEE Transactions on Network and Service Management (TNSM)."
"Conference of the Association of Asian-Pacific Operational Research Societies","APORS","http://apors.org/conferences/","None","None","CORE2023","C","N/A","4602","Information of APORS:
Type: Offline
Year: 2024
Location: Hangzhou, CHINA
Country: China
Continent: Asia
Topics: Operational Research","","2024","Hangzhou, CHINA","China","Asia","Offline","","","","","Operational Research","","Information of APORS:","The Association of Asia-Pacific Operational Research Societies (APORS) organizes a triennial academic conference. APORS 2024 was held in Hangzhou, China. The conference serves as a forum for researchers and practitioners in operational research.","No information about the call for papers was provided."
"International Conference on Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms","AofA","None","","","CORE2023","C","N/A","4613","Information of AofA:
Conference dates: May 5-9, 2025
Year: 2025
Location: Fields Institute, Room 230, Toronto, Canada
Country: Canada
Continent: North America
Type: Offline
Topics: Analysis of Algorithms, Probabilistic Methods, Combinatorial Methods, Analytic Tools, Average Case Analysis, Analytic Combinatorics, Enumerative Combinatorics, Random Trees, Random Graphs, Branching Processes, Stochastic Processes, Random Walks, Discrete Probabilities, Random Generation, Performance Evaluation","May 5-9, 2025","2025","Fields Institute, Room 230, Toronto, Canada","Canada","North America","Offline","","","","","Analysis of Algorithms, Probabilistic Methods, Combinatorial Methods, Analytic Tools, Average Case Analysis, Analytic Combinatorics, Enumerative Combinatorics, Random Trees, Random Graphs, Branching Processes, Stochastic Processes, Random Walks, Discrete Probabilities, Random Generation, Performance Evaluation","","Information of AofA:","The 2025 International Conference on Probabilistic, Combinatorial and Asymptotic Methods for the Analysis of Algorithms (AofA 2025) will be held at the Fields Institute in Toronto, Canada, from May 5-9, 2025. This conference brings together experts in computer science and mathematics to understand the asymptotic, average-case characteristics of algorithms and data structures, using probabilistic, combinatorial, and analytic methods. The conference aims to positively influence the future careers of students and early-career researchers, opening new scientific avenues and providing exposure to top-level research.","AofA 2025 invites submissions studying discrete objects (data structures, algorithms, graphs, networks) using mathematical methods, particularly probabilistic, combinatorial, and asymptotic methods. Topics of interest include:
*   Properties of large random data structures
*   Probabilistic, combinatorial, and analytic methods for algorithm analysis
*   Average case analysis of algorithms
*   Analytic and enumerative combinatorics
*   Random trees and graphs
*   Branching processes
*   Stochastic processes in relation with random discrete structures
*   Random walks
*   Discrete probabilities
*   Random generation of combinatorial structures
*   Performance evaluation"
"Asia-Pacific Services Computing Conference","APSCC","None","","","CORE2023","C","N/A","4606","Information of APSCC:
No information available","","","","","","","","","","","","","Information of APSCC:
No information available","",""
"Web and Big Data","APWEB","https://apweb2025.sau.edu.cn/","https://apweb2025.sau.edu.cn/call_for_papers.html","https://apweb2025.sau.edu.cn/important_date.html","CORE2023","C","N/A","4605","Information of APWEB:
Conference dates: August 28-30, 2025
Year: 2025
Location: Shenyang, China
Country: China
Continent: Asia
Type: Offline
Full paper submission (1st round): March 2, 2025
Acceptance Notification (1st round): April 21, 2025
Camera Ready (1st round): May 4, 2025
Full paper submission (2nd round): May 4, 2025
Acceptance Notification (2nd round): June 23, 2025
Camera Ready (2nd round): July 6, 2025
Full paper submission (Industry Papers and Demo Papers): May 11, 2025
Acceptance Notification (Industry Papers and Demo Papers): June 23, 2025
Camera Ready (Industry Papers and Demo Papers): July 6, 2025
Proposal submission (Workshop Proposals): April 11, 2025
Acceptance Notification (Workshop Proposals): April 21, 2025
Workshop Date: August 28, 2025
Topics: Web Technologies, Data Management, Web-based Systems, Semantic Web, Web Mining, Social Networks, Database Systems, Big Data, Data Mining, Information Retrieval, Artificial Intelligence, Machine Learning, Cloud Computing, Distributed Systems, Security and Privacy
Publisher: Springer","August 28-30, 2025","2025","Shenyang, China","China","Asia","Offline","Full paper submission (1st round): March 2, 2025
Full paper submission (2nd round): May 4, 2025
Full paper submission (Industry Papers and Demo Papers): May 11, 2025
Proposal submission (Workshop Proposals): April 11, 2025","Acceptance Notification (1st round): April 21, 2025
Acceptance Notification (2nd round): June 23, 2025
Acceptance Notification (Industry Papers and Demo Papers): June 23, 2025
Acceptance Notification (Workshop Proposals): April 21, 2025","Camera Ready (1st round): May 4, 2025
Camera Ready (2nd round): July 6, 2025
Camera Ready (Industry Papers and Demo Papers): July 6, 2025","","Web Technologies, Data Management, Web-based Systems, Semantic Web, Web Mining, Social Networks, Database Systems, Big Data, Data Mining, Information Retrieval, Artificial Intelligence, Machine Learning, Cloud Computing, Distributed Systems, Security and Privacy","Springer","Information of APWEB:
Workshop Date: August 28, 2025","The 9th APWeb-WAIM joint International Conference on Web and Big Data (APWeb-WAIM 2025) will be held in Shenyang, China, from August 28-30, 2025. This conference merges the Asia-Pacific Web Conference (APWeb) and the International Conference on Web-Age Information Management (WAIM), providing a platform for researchers, practitioners, and industry professionals to exchange ideas and discuss advancements in web technologies, data management, and related areas.","APWeb-WAIM 2025 invites submissions related to web and big data. Key details:
*   **Submission Deadlines:**
*   1st Round Full Paper Submission: March 2, 2025
*   2nd Round Full Paper Submission: May 4, 2025
*   Industry Papers and Demo Papers: May 11, 2025
*   Workshop Proposals: April 11, 2025
*   **Topics of Interest:** Include but are not limited to advanced database and Web applications, big data management and analytics, block chain and distributed systems, cloud computing, data mining, information retrieval, machine learning, semantic Web, and Web security.
*   **Submission Guidelines:**
*   All deadlines are 23:59 Anywhere on Pacific time.
*   Submissions must be written in English and conform to the Springer LNCS proceedings format.
*   Page limit: 15 pages for regular papers including references.
*   Double-blind review process.
*   Submission Website: [https://cmt3.research.microsoft.com/APWebWAIM2025](https://cmt3.research.microsoft.com/APWebWAIM2025)
*   **Publication:** Proceedings will be published by Springer in Lecture Notes in Computer Science (LNCS) and Communications in Computer and Information Science (CCIS). Best papers may be invited to special issues of journals like World Wide Web Journal, ARRAY, and Data Science Engineering.
*   **Formatting Template:** Use the Springer LNCS format."
"Asia-Pacific Software Engineering Conference","APSEC","https://conf.researchr.org/home/apsec-2025","https://conf.researchr.org/track/apsec-2025/apsec-2025-papers","https://conf.researchr.org/dates/apsec-2025","CORE2023","C","N/A","4612","Information of APSEC:
Conference dates: December 2-5, 2025
Year: 2025
Location: Wynn Palace, Macao SAR
Country: China
Continent: Asia
Type: Offline
Research Papers Abstract Deadline: July 6, 2025
Research Papers Paper Deadline: July 13, 2025
Research Papers Author Notification: September 13, 2025
Research Papers Camera Ready Deadline: October 20, 2025
Topics: Agile Processes, DevOps, Container, Configuration Management, Deployment, Software Engineering Process, Software Architecture, AI and Software Engineering, Formal Aspects of Software Engineering, Human Factors and Social Aspects of Software Engineering, Dependability, Safety, and Reliability, Software Project Management","December 2-5, 2025","2025","Wynn Palace, Macao SAR","China","Asia","Offline","Research Papers Abstract Deadline: July 6, 2025
Research Papers Paper Deadline: July 13, 2025","Research Papers Author Notification: September 13, 2025","Research Papers Camera Ready Deadline: October 20, 2025","","Agile Processes, DevOps, Container, Configuration Management, Deployment, Software Engineering Process, Software Architecture, AI and Software Engineering, Formal Aspects of Software Engineering, Human Factors and Social Aspects of Software Engineering, Dependability, Safety, and Reliability, Software Project Management","","Information of APSEC:","The 32nd Asia-Pacific Software Engineering Conference (APSEC 2025) is a leading regional conference gathering researchers and practitioners to exchange knowledge and best practices in software engineering and address emerging challenges. APSEC 2025 will be held in Macao SAR, China, from December 2-5, 2025, and will feature keynote speakers, paper presentations, demos, tutorials, the New Faculty Forum, and a Student Research Competition.","APSEC 2025 invites high-quality contributions describing original research results in software engineering. Key details include:
*   **Submission Deadlines:**
*   Abstract Deadline: July 6, 2025 (AoE)
*   Paper Deadline: July 13, 2025 (AoE)
*   Camera Ready Deadline: October 20, 2025 (AoE)
*   **Topics of Interest:** Solicited topics include but are not limited to:
*   Tools and processes
*   Requirements and Design
*   Testing and Analysis
*   Formal Aspects of Software Engineering
*   Human Factors and Social Aspects of Software Engineering
*   AI and Software Engineering
*   Dependability, Safety, and Reliability
*   Software Project Management
*   **Submission Instructions:**
*   Maximum Length: 12 pages (including references).
*   Format: IEEE Conference Proceedings Formatting Guidelines, Title in 24pt font, Full text in 10pt font.
*   Double-Blind Review: Submissions must not reveal the authors’ identities.
*   Submission Link: [https://apsec25.hotcrp.com](https://apsec25.hotcrp.com)
*   **Publication:** All accepted papers will be included in the IEEE Digital Library. At least one author of each accepted paper must register for and present the paper at the conference."
"International Conference on Availability, Reliability and Security","ARES","https://2025.ares-conference.eu/","https://2025.ares-conference.eu/call-for-papers","https://2025.ares-conference.eu/important-dates","CORE2023","B","N/A","4604","Information of ARES: 
No information available","","","","","","","","","","","","","Information of ARES:
No information available","",""
