"name","acronym","link","cfpLink","impLink","source","rank","rating","fieldOfResearch","information","conferenceDates","year","location","cityStateProvince","country","continent","type","submissionDate","notificationDate","cameraReadyDate","registrationDate","otherDate","topics","publisher","summary","callForPapers"
"ASIAN Symposium on Programming Languages and Systems","APLAS","https://conf.researchr.org/home/aplas-2025","https://conf.researchr.org/track/aplas-2025/aplas-2025-papers","https://conf.researchr.org/dates/aplas-2025","","","","","Conference dates: October 27 - 30, 2025
Year: 2025
Location: International Institute of Information Technology Bangalore (IIIT Bangalore), Bengaluru, India
City-State-Province: Bengaluru
Country: India
Continent: Asia
Type: Offline
Research Papers Submission Deadline: May 31, 2025
Research Papers Acceptance Notificaiton: July 18, 2025
Research Papers Camera Ready Deadline: August 31, 2025
Research Papers Author Response Period: July 7 - 9, 2025
Topics: Programming Languages and Systems","October 27 - 30, 2025","2025","International Institute of Information Technology Bangalore (IIIT Bangalore), Bengaluru, India","Bengaluru","India","Asia","Offline","{""Research Papers Submission Deadline"":""May 31, 2025""}","{""Research Papers Acceptance Notificaiton"":""July 18, 2025""}","{""Research Papers Camera Ready Deadline"":""August 31, 2025""}","{}","{""Research Papers Author Response Period"":""July 7 - 9, 2025""}","Programming Languages and Systems","","The 23rd Asian Symposium on Programming Languages and Systems (APLAS 2025) will take place from October 27-30, 2025, at the International Institute of Information Technology Bangalore (IIIT Bangalore) in Bengaluru, India.","No call for papers available"
"Asia-Pacific Conference on Conceptual Modelling","APCCM","https://apccm.org/","None","None","","","","","Conference dates: January 20 - 23, 2014
Year: 2014
Location: Auckland, New Zealand
City-State-Province: Auckland
Country: New Zealand
Continent: Oceania
Type: Offline
Topics: Information modelling, conceptual modelling, knowledge-based systems","January 20 - 23, 2014","2014","Auckland, New Zealand","Auckland","New Zealand","Oceania","Offline","{}","{}","{}","{}","{}","Information modelling, conceptual modelling, knowledge-based systems","","The Tenth Asia-Pacific Conference on Conceptual Modelling (APCCM 2014) took place in Auckland, New Zealand from January 20th to 23rd, 2014. The conference provided a forum for disseminating the results of innovative research in information modelling and related areas.","No call for papers available"
"Asia Pacific Conference on Communications","APCC","https://www.comsoc.org/","None","None","","","","","Conference dates: December 1-3, 2025
Year: 2025
Location: ECU Joondalup Campus, Perth
City-State-Province: Perth, Western Australia
Country: Australia
Continent: Oceania
Type: Offline
Submission of full-length papers: September 7, 2025
Notification of paper acceptance: October 15, 2025
Submission of camera-ready papers: November 3, 2025
Topics: Robotics, Automation, Mechatronics","December 1-3, 2025","2025","ECU Joondalup Campus, Perth","Perth, Western Australia","Australia","Oceania","Offline","{""Submission of full-length papers"":""September 7, 2025""}","{""Notification of paper acceptance"":""October 15, 2025""}","{""Submission of camera-ready papers"":""November 3, 2025""}","{}","{}","Robotics, Automation, Mechatronics","","The 2025 Australasian Conference on Robotics and Automation (ACRA 2025) will be held in person on December 1-3, 2025 at ECU Joondalup Campus in Perth, Australia.  ACRA brings together Australian and New Zealand researchers and students in robotics, automation, and mechatronics.","# ACRA 2025: Call for Papers and Participation

## General Information

The 2025 Australasian Conference on Robotics and Automation (ACRA 2025) is jointly organized by Edith Cowan University and the Australian Robotics and Automation Association (ARAA). The conference will be held **in person** from **December 1-3, 2025**, at the **ECU Joondalup Campus** in **Perth, Australia**.

Since 1999, ACRA has brought together Australian and New Zealand researchers and students in robotics, automation, and mechatronics. It provides a forum to present a breadth of research activities to the broader Australasian community. ACRA is a quality, peer-reviewed conference featured in Scopus, Google Scholar, and other ranking engines.

All full papers submitted to ACRA 2025 will undergo a peer-review process. Each manuscript will be reviewed by at least two reviewers, who will give detailed comments. If the submission is accepted, the authors will submit a revised (“camera-ready”) version that takes into account this feedback. All papers are reviewed using a single-blind review process. Papers from all areas of robotics are encouraged.

## Important Dates

*   **Submission of full-length papers:** September 7, 2025 (23:59 AWST)
*   **Notification of paper acceptance:** October 15, 2025 (23:59 AWST)
*   **Submission of camera-ready papers:** November 3, 2025 (23:59 AWST)
*   **Early Bird Registration Deadline:** November 7, 2025

## Venue

Building 32, Edith Cowan University, Joondalup WA 6027

## ACRA 2025 Committee

*   **General Chairs:**
    *   Dr. Syed Afaq Shah, Edith Cowan University
    *   Prof. Mohammed Bennamoun, The University of Western Australia
*   **Honorary General Chair:** Prof. Michael Milford, Queensland University of Technology
*   **Program Chairs:**
    *   Assoc/Prof. Martin Masek, Edith Cowan University
    *   Dr. Mohammad Awrangjeb, Griffith University
*   **Local Arrangement Chairs:**
    *   Dr. Md Moniruzzaman, Edith Cowan University
    *   Dr. Jumana Abu-Khalaf, Edith Cowan University
*   **Awards Chairs:**
    *   Dr. Shams Islam, Edith Cowan University
    *   Dr. Mubashar Hassan, The University of Western Australia
*   **Publicity Chairs:**
    *   Dr. Viloletta Wilk, Edith Cowan University
    *   Dr. Saima Bughio, Edith Cowan University
*   **Registration Chairs:**
    *   Dr. Nur Halder, Curtin University
    *   Dr. Afsah Saleem, Edith Cowan University
*   **Publication Chairs:**
    *   Dr. Brenda Wang, Murdoch University
    *   Dr. Naeha Sharif, The University of Western Australia
*   **Industry Program and Tutorial Chair:**
    *   Dr. Muhammad Bilal Shaikh, Edith Cowan University
    *   Dr. Omar Anwar, The University of Western Australia/ICRAR

## Paper Format

ACRA papers must be **6-10 pages in length** (including text, references, figures, and acknowledgements). Papers that do not follow these guidelines may be rejected without review.

## Paper Templates

Please use this link to download the following files:

*   **LaTeX:**
    *   style file: acra.sty
    *   template: acra.tex
    *   bibtex: named.bst
*   **Microsoft Word | Star/OpenOffice:**
    *   template: acra.rtf or acra.odt

## Submission Portal

To make your submission, please use [this portal](https://ssl.linklings.net/conferences/acra/).

## Inquiries

*   **For attendance inquiries:**
    *   Dr. Md Moniruzzaman, [m.moniruzzaman@ecu.edu.au](mailto:m.moniruzzaman@ecu.edu.au)
    *   Dr Jumana Abu-Khalaf, [j.abukhalaf@ecu.edu.au](mailto:j.abukhalaf@ecu.edu.au)
*   **For sponsorship inquiries:**
    *   Dr Syed Afaq Shah, [afaq.shah@ecu.edu.au](mailto:afaq.shah@ecu.edu.au)
    *   Dr Bilal Shaikh, [m.shaikh@ecu.edu.au](mailto:m.shaikh@ecu.edu.au)

## Sponsorship

ACRA 2025 welcomes projects, startups, companies, and institutions to increase their visibility through partnership and sponsorship.

**Why support ACRA 2025?**

*   Sponsor’s logo/banner will be appropriately placed among all conference attendees and web visitors.
*   Sponsor’s delegates will have a chance to reach out to scientists, researchers, practitioners, and undergraduate students in industry and academia.
*   Representative(s) of all sponsors will be proportionately invited to the gala dinner.
*   Sponsors of all awards will be invited to present their respective awards to the winners, and the Platinum Sponsor will be invited for a five-minute talk during the gala dinner.

**What can you sponsor?**

In addition to free Media Partner collaboration, sponsorship opportunities are available at five different tiers:

*   Platinum ($15K or more)
*   Gold (between $10K and $15K)
*   Silver (between $5K and $10K)
*   Bronze (between $2K and $5K)
*   Entry (between $1K and $2K)

You can also choose to sponsor any of the following awards/items:

*   Best Paper Award(s)
*   Food/Coffee Breaks
*   Banquet Entertainment
*   Travel Grants for Students

For customized sponsorship options, please email your proposal with a copy of your company logo.

**Contact:**

For more information or sponsorship opportunities, please email [afaq.shah@ecu.edu.au](mailto:afaq.shah@ecu.edu.au), [j.abukhalaf@ecu.edu.au](mailto:j.abukhalaf@ecu.edu.au), or [m.moniruzzaman@ecu.edu.au](mailto:m.moniruzzaman@ecu.edu.au).

## Topics

ACRA 2025 will bring together researchers, engineers, academics, students, practitioners, organizations, and industries to discuss the current state of the art in research and the advancement of technology in all areas of Robotics and Automation.

## Registration Costs

*   **Early Bird – Register by 7th November 2025**
    *   General Admission: $700
    *   Student Admission: $500
*   **Regular**
    *   General Admission: $750
    *   Student Admission: $550"
"International Conference on Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms (was Conference on Analysis of Algorithms)","AofA","http://www.fields.utoronto.ca/activities/24-25/AofA-2025","None","None","","","","","Conference dates: May 5 - 9, 2025
Year: 2025
Location: Fields Institute, Room 230
City-State-Province: Toronto
Country: Canada
Continent: North America
Type: Offline
Topics: Analysis of Algorithms, Probabilistic Methods, Combinatorial Methods, Analytic Methods, Average Case Analysis, Analytic Combinatorics, Enumerative Combinatorics, Random Trees, Random Graphs, Branching Processes, Stochastic Processes, Random Walks, Discrete Probabilities, Random Generation of Combinatorial Structures, Performance Evaluation","May 5 - 9, 2025","2025","Fields Institute, Room 230","Toronto","Canada","North America","Offline","{}","{}","{}","{}","{}","Analysis of Algorithms, Probabilistic Methods, Combinatorial Methods, Analytic Methods, Average Case Analysis, Analytic Combinatorics, Enumerative Combinatorics, Random Trees, Random Graphs, Branching Processes, Stochastic Processes, Random Walks, Discrete Probabilities, Random Generation of Combinatorial Structures, Performance Evaluation","","The 2025 International Conference on Probabilistic, Combinatorial and Asymptotic Methods for the Analysis of Algorithms (AofA 2025) will be held at the Fields Institute in Toronto, Canada, from May 5-9, 2025.  The conference focuses on the use of probabilistic, combinatorial, and analytic methods to understand the asymptotic, average-case characteristics of algorithms and data structures.","No call for papers available"
"Asia-Pacific Bioinformatics Conference","APBC","https://bioinfo.nuaa.edu.cn/apbc2025/main.psp","None","None","","","","","Information of APBC: No information available","","","","","","","","{}","{}","{}","{}","{}","","","",""
"Asia-Pacific Services Computing Conference","APSCC","https://www.apnoms.org/","None","None","","","","","Information of APSCC: No information available","","","","","","","","{}","{}","{}","{}","{}","","","",""
"International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation","APPROX/RANDOM","https://approxconference.com/","https://approxconference.com/","https://approxconference.com/","","","","","Conference dates: August 11 - 13, 2025
Year: 2025
Location: UC Berkeley, Berkeley, California, USA
City-State-Province: Berkeley, California
Country: United States
Continent: North America
Type: Offline
Submissions: May 8, 2025
Notifications: July 1, 2025
Camera ready: July 15, 2025
Topics: Approximation algorithms, Hardness of approximation, Small space algorithms, Sub-linear time algorithms, Streaming algorithms, Online algorithms, Approaches beyond worst-case analysis, Distributed and parallel approximation, Embeddings, Metric space methods, Mathematical programming methods, Spectral methods, Combinatorial optimization, Algorithmic game theory, Mechanism design, Economics, Computational geometric problems, Approximate learning","August 11 - 13, 2025","2025","UC Berkeley, Berkeley, California, USA","Berkeley, California","United States","North America","Offline","{""Submissions"":""May 8, 2025""}","{""Notifications"":""July 1, 2025""}","{""Camera ready"":""July 15, 2025""}","{}","{}","Approximation algorithms, Hardness of approximation, Small space algorithms, Sub-linear time algorithms, Streaming algorithms, Online algorithms, Approaches beyond worst-case analysis, Distributed and parallel approximation, Embeddings, Metric space methods, Mathematical programming methods, Spectral methods, Combinatorial optimization, Algorithmic game theory, Mechanism design, Economics, Computational geometric problems, Approximate learning","","APPROX 2025, the International Conference on Approximation Algorithms for Combinatorial Optimization Problems, will take place at UC Berkeley, Berkeley, California, USA, on August 11-13, 2025, together with RANDOM 2025.  The conference solicits papers in all research areas related to approximation.","# APPROX 2025: Call for Papers

The APPROX 2025 conference will take place at **UC Berkeley, Berkeley, California, USA, on August 11-13, 2025**, together with RANDOM 2025.

## Submission Format

Submissions, in PDF, should start with a title page containing the title of the paper, each author’s name, affiliation, and e-mail address, and a 1-2 paragraph abstract summarizing the paper’s contributions. The title page should be followed by a technical exposition on single-spaced, single-column pages, letter-size paper, using page numbers, at least 1-inch margins all around, and at least 11-point font. The first 10 pages, following the title page, should contain a clear presentation of the main technical and conceptual ideas underlying the results, including the motivation behind the paper and a clear comparison with related work (not including the references). The submission should be accessible to a wide variety of researchers in theoretical computer science and discrete mathematics. There is no page limit, but any material beyond the title page and the following 10 pages will be read at the sole discretion of the program committee.

## Important Deadlines

*   **Submissions:** May 8, 2025, AoE Time Zone
*   **Notifications:** July 1, 2025
*   **Camera ready:** July 15, 2025

## Scope

Papers are solicited in all research areas related to approximation, including but not limited to:

*   approximation algorithms
*   hardness of approximation
*   small space, sub-linear time and streaming algorithms
*   online algorithms
*   approaches that go beyond worst-case analysis
*   distributed and parallel approximation
*   embeddings and metric space methods
*   mathematical programming methods
*   spectral methods
*   combinatorial optimization
*   algorithmic game theory, mechanism design and economics
*   computational geometric problems
*   approximate learning

## Program Committee

*   Jose Correa, Universidad de Chile
*   Yotam Dikstein, IAS
*   Michael Dinitz, Johns Hopkins University
*   Alina Ene (PC Chair), Boston University
*   D Ellis Hershkowitz, Brown University
*   Billy Jin, University of Chicago
*   Nathan Klein, Boston University
*   Jochen Koenemann, University of Waterloo
*   Jason Li, CMU
*   Quanquan Liu, Yale University
*   Vasilis Livanos, Universidad de Chile
*   Viswanath Nagarajan, University of Michigan
*   Martin Naegele, ETH Zurich
*   Liren Shan, TTI Chicago
*   Zihan Tan, Rutgers University
*   Vera Traub, ETH Zurich
*   Laura Vargas Koch, RWTH Aachen University
*   Samson Zhou, Texas A&M University"
"Asia-Pacific Network Operations and Management Symposium","APNOMS","https://noms2025.ieee-noms.org/","https://noms2025.ieee-noms.org/call-technical-session-papers","https://noms2025.ieee-noms.org/","","","","","Conference dates: May 12 - 16, 2025
Year: 2025
Location: Honolulu, HI, USA
City-State-Province: Honolulu, Hawaii
Country: United States
Continent: North America
Type: Offline
Paper Submission Deadline: October 25, 2024
Experience Session Submission Deadline: October 25, 2024
Dissertation Digest Submission Deadline: January 22, 2025
Demo Submission Deadline: January 31, 2025
Workshop Submission Deadline: January 17, 2025
Doctoral Symposium Submission Deadline: January 26, 2025
Notification of Acceptance: December 20, 2024
Camera Ready Paper: January 31, 2025
Author Registration Deadline: March 20, 2025
Travel Grants are now available Applications due: March 7, 2025
Topics: Network Operations and Management","May 12 - 16, 2025","2025","Honolulu, HI, USA","Honolulu, Hawaii","United States","North America","Offline","{""Paper Submission Deadline"":""October 25, 2024"",""Experience Session Submission Deadline"":""October 25, 2024"",""Dissertation Digest Submission Deadline"":""January 22, 2025"",""Demo Submission Deadline"":""January 31, 2025"",""Workshop Submission Deadline"":""January 17, 2025"",""Doctoral Symposium Submission Deadline"":""January 26, 2025""}","{""Notification of Acceptance"":""December 20, 2024""}","{""Camera Ready Paper"":""January 31, 2025""}","{""Author Registration Deadline"":""March 20, 2025""}","{""Travel Grants are now available Applications due"":""March 7, 2025""}","Network Operations and Management","","The IEEE/IFIP Network Operations and Management Symposium (NOMS 2025) will be held from May 12-16, 2025, in Honolulu, Hawaii, USA.  The conference welcomes researchers, developers, vendors, service providers, and policymakers to collaborate, learn, and shape the future of network operations and management.","# NOMS 2025: Call for Papers

The 38th IEEE/IFIP Network Operations and Management Symposium (NOMS 2025) will be held from **May 12-16, 2025, in Honolulu, Hawaii, USA.**

NOMS 2025 welcomes researchers, developers, vendors, service providers, and policymakers to collaborate, learn, and shape the future of network operations and management.

## Call for Papers Tracks

*   Call for Technical Session Papers
*   Call for Experience Session Papers
*   Call for Workshop Papers
*   Call for Demo Papers
*   Call for Doctoral Symposium Papers
*   Call for Dissertation Digest Papers

## Important Dates

All deadlines are at 11:59 PM AoE (Anywhere on Earth)

*   **Paper Submission Deadline:** October 25, 2024
*   **Experience Session Submission Deadline:** October 25, 2024
*   **Dissertation Digest Submission Deadline:** January 22, 2025
*   **Demo Submission Deadline:** January 31, 2025
*   **Workshop Submission Deadline:** January 17, 2025
*   **Doctoral Symposium Submission Deadline:** January 26, 2025
*   **Notification of Acceptance:** December 20, 2024
*   **Camera Ready Paper:** January 31, 2025
*   **Author Registration Deadline:** March 20, 2025
*   **Travel Grants Application Deadline:** March 7, 2025"
"Conference of the Association of Asian-Pacific Operational Research Societies","APORS","http://apors.org/","None","None","","","","","Information of APORS: No information available","","","","","","","","{}","{}","{}","{}","{}","","","",""
"Asia-Pacific Software Engineering Conference","APSEC","https://conf.researchr.org/home/apsec-2025","https://conf.researchr.org/track/apsec-2025/apsec-2025-papers","https://conf.researchr.org/dates/apsec-2025","","","","","Conference dates: December 2 - 5, 2025
Year: 2025
Location: Wynn Palace, Macao, China
City-State-Province: Macao
Country: China
Continent: Asia
Type: Offline
Technical Track Abstract Deadline: July 6, 2025
Technical Track Paper Deadline: July 13, 2025
Technical Track Author Notification: September 13, 2025
Technical Track Camera Ready Deadline: October 20, 2025
Topics: Software Engineering","December 2 - 5, 2025","2025","Wynn Palace, Macao, China","Macao","China","Asia","Offline","{""Technical Track Abstract Deadline"":""July 6, 2025"",""Technical Track Paper Deadline"":""July 13, 2025""}","{""Technical Track Author Notification"":""September 13, 2025""}","{""Technical Track Camera Ready Deadline"":""October 20, 2025""}","{}","{}","Software Engineering","","The 32nd Asia-Pacific Software Engineering Conference (APSEC 2025) will be held on December 2-5, 2025 in Macao SAR, China. APSEC 2025 will feature a main research track, tutorials, workshops, a New Faculty Forum, and a Student Research Competition.","No call for papers available"
